DNI / CE,Nombres y Apellidos,Móvil,Puesto,Correo,Sueldo Bruto
76128709,Diego Alonso Ramos Quispe,989322088,Desarrollador Java Senior,diego.ramos@gmail.com,9000
45892134,Jorge Luis Chavez Pinto,987654321,Cloud Architect,jorge.chavez@gmail.com,12000
71984512,Valeria Beatriz Flores Rodriguez,976543210,Full Stack Developer,valeria.flores@gmail.com,7000
70812390,Miguel Angel Torres Huaman,965432109,QA Automation,miguel.torres@gmail.com,6800
47589623,Patricia Elena Vargas Delgado,954321098,Scrum Master,patricia.vargas@gmail.com,8500
73412589,Renzo Paolo Castillo Morales,943210987,Backend Python Developer,renzo.castillo@gmail.com,6500
48912345,Monica Beatriz Rojas Soto,932109876,Frontend Angular Specialist,monica.rojas@gmail.com,6200
74890123,Sebastian Andres Lopez Herrera,921098765,Mobile Developer Flutter,sebastian.lopez@gmail.com,4500
43981276,Lucia Esperanza Benitez Navarro,910987654,Security Engineer,lucia.benitez@gmail.com,9500
75619283,Gonzalo Martin Palacios Vega,909876543,Data Analyst,gonzalo.palacios@gmail.com,5000
80112233,Brenda Sofia Gutierrez Paredes,911223344,Desarrollador Java,brenda.gutierrez@adecco-post.pe,5800
80223344,Victor Manuel Romero Diaz,922334455,Data Engineer,victor.romero@adecco-post.pe,7200
80334455,Camila Andrea Morales Rios,933445566,DevOps Specialist,camila.morales@adecco-post.pe,8000
80445566,Andres Felipe Salazar Castro,944556677,Cloud Architect,andres.salazar@adecco-post.pe,11500
80556677,Daniela Alejandra Ponce Vega,955667788,Full Stack Developer,daniela.ponce@adecco-post.pe,6800
